company_group,sector,ticker,position,statement_type,concepts_used,extraction_method,n_filings,latest_value,latest_period
StapA,Consumer Staples,PEP,total_assets,balance_sheet,Assets,sec_companyfacts,21,110646000000.0,2026-03-21
StapA,Consumer Staples,PG,total_assets,balance_sheet,Assets,sec_companyfacts,23,128378000000.0,2026-03-31
StapA,Consumer Staples,PM,total_assets,balance_sheet,Assets,sec_companyfacts,21,68913000000.0,2026-03-31
StapA,Consumer Staples,WMT,total_assets,balance_sheet,Assets,sec_companyfacts,21,289607000000.0,2026-04-30
StapA,Consumer Staples,COST,total_equity,balance_sheet,StockholdersEquity,sec_companyfacts,23,33509000000.0,2026-05-10
StapA,Consumer Staples,KO,total_equity,balance_sheet,StockholdersEquity,sec_companyfacts,21,33633000000.0,2026-04-03
StapA,Consumer Staples,PEP,total_equity,balance_sheet,StockholdersEquity,sec_companyfacts,21,21383000000.0,2026-03-21
StapA,Consumer Staples,PG,total_equity,balance_sheet,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,sec_companyfacts,23,54731000000.0,2026-03-31
StapA,Consumer Staples,PM,total_equity,balance_sheet,StockholdersEquity,sec_companyfacts,21,-9279000000.0,2026-03-31
StapA,Consumer Staples,WMT,total_equity,balance_sheet,StockholdersEquity,sec_companyfacts,21,94330000000.0,2026-04-30
TechA,Technology,AAPL,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,21,1971000000.0,2026-03-28
TechA,Technology,MSFT,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,23,30876000000.0,2026-03-31
TechA,Technology,AAPL,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,22,45572000000.0,2026-03-28
TechA,Technology,MSFT,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,23,32105000000.0,2026-03-31
TechA,Technology,AAPL,commercial_paper,balance_sheet,CommercialPaper,sec_companyfacts,22,1997000000.0,2026-03-28
TechA,Technology,MSFT,commercial_paper,balance_sheet,CommercialPaper,sec_companyfacts,8,0.0,2025-06-30
TechA,Technology,AAPL,cost_of_revenue,income_statement,CostOfGoodsAndServicesSold,sec_companyfacts,22,56403000000.0,2026-03-28
TechA,Technology,MSFT,cost_of_revenue,income_statement,CostOfGoodsAndServicesSold,sec_companyfacts,23,26828000000.0,2026-03-31
TechA,Technology,AAPL,gross_profit,income_statement,GrossProfit,sec_companyfacts,22,54781000000.0,2026-03-28
TechA,Technology,MSFT,gross_profit,income_statement,GrossProfit,sec_companyfacts,23,56058000000.0,2026-03-31
TechA,Technology,AAPL,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,22,35833000000.0,2026-03-28
TechA,Technology,MSFT,income_before_tax,income_statement,"IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest, IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",sec_companyfacts,23,39340000000.0,2026-03-31
TechA,Technology,AAPL,income_tax,income_statement,IncomeTaxExpenseBenefit,sec_companyfacts,22,6255000000.0,2026-03-28
TechA,Technology,MSFT,income_tax,income_statement,IncomeTaxExpenseBenefit,sec_companyfacts,23,7562000000.0,2026-03-31
TechA,Technology,AAPL,long_term_debt,balance_sheet,LongTermDebtNoncurrent,sec_companyfacts,22,74404000000.0,2026-03-28
TechA,Technology,MSFT,long_term_debt,balance_sheet,LongTermDebtNoncurrent,sec_companyfacts,23,31423000000.0,2026-03-31
TechA,Technology,AAPL,long_term_debt_current,balance_sheet,LongTermDebtCurrent,sec_companyfacts,22,8310000000.0,2026-03-28
TechA,Technology,MSFT,long_term_debt_current,balance_sheet,LongTermDebtCurrent,sec_companyfacts,23,8839000000.0,2026-03-31
TechA,Technology,AAPL,net_income,income_statement,NetIncomeLoss,sec_companyfacts,22,29578000000.0,2026-03-28
TechA,Technology,MSFT,net_income,income_statement,NetIncomeLoss,sec_companyfacts,23,31778000000.0,2026-03-31
TechA,Technology,AAPL,operating_cash_flow,cash_flow_statement,NetCashProvidedByUsedInOperatingActivities,sec_companyfacts,21,28702000000.0,2026-03-28
TechA,Technology,MSFT,operating_cash_flow,cash_flow_statement,NetCashProvidedByUsedInOperatingActivities,sec_companyfacts,23,46679000000.0,2026-03-31
TechA,Technology,AAPL,operating_income,income_statement,OperatingIncomeLoss,sec_companyfacts,22,35885000000.0,2026-03-28
TechA,Technology,MSFT,operating_income,income_statement,OperatingIncomeLoss,sec_companyfacts,23,38398000000.0,2026-03-31
TechA,Technology,AAPL,research_and_development,income_statement,ResearchAndDevelopmentExpense,sec_companyfacts,22,11419000000.0,2026-03-28
TechA,Technology,MSFT,research_and_development,income_statement,ResearchAndDevelopmentExpense,sec_companyfacts,23,8915000000.0,2026-03-31
TechA,Technology,AAPL,revenue,income_statement,RevenueFromContractWithCustomerExcludingAssessedTax,sec_companyfacts,22,111184000000.0,2026-03-28
TechA,Technology,MSFT,revenue,income_statement,RevenueFromContractWithCustomerExcludingAssessedTax,sec_companyfacts,23,82886000000.0,2026-03-31
TechA,Technology,AAPL,short_term_debt,balance_sheet,(calculated/none),calculated,22,10307000000.0,2026-03-28
TechA,Technology,MSFT,short_term_debt,balance_sheet,(calculated/none),calculated,23,8839000000.0,2026-03-31
TechA,Technology,AAPL,total_assets,balance_sheet,Assets,sec_companyfacts,22,371082000000.0,2026-03-28
TechA,Technology,MSFT,total_assets,balance_sheet,Assets,sec_companyfacts,23,694228000000.0,2026-03-31
TechA,Technology,AAPL,total_equity,balance_sheet,StockholdersEquity,sec_companyfacts,22,106491000000.0,2026-03-28
TechA,Technology,MSFT,total_equity,balance_sheet,StockholdersEquity,sec_companyfacts,23,414367000000.0,2026-03-31
TechB,Technology,AMAT,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,20,635000000.0,2026-04-26
TechB,Technology,AMD,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,21,389000000.0,2026-03-28
TechB,Technology,APH,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,21,291600000.0,2026-03-31
TechB,Technology,AVGO,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,20,231000000.0,2026-05-03
TechB,Technology,CRM,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,21,145000000.0,2026-04-30
TechB,Technology,CSCO,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,23,414000000.0,2026-04-25
TechB,Technology,INTC,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,21,3636000000.0,2026-03-28
TechB,Technology,LRCX,capital_expenditure,cash_flow_statement,PaymentsToAcquireProductiveAssets,sec_companyfacts,23,331604000.0,2026-03-29
TechB,Technology,MU,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,24,7826000000.0,2026-05-28
TechB,Technology,NOW,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,21,141000000.0,2026-03-31
TechB,Technology,NVDA,capital_expenditure,cash_flow_statement,"PaymentsToAcquireProductiveAssets, PurchasesOfPropertyAndEquipmentAndIntangibleAssets",sec_companyfacts,21,1757000000.0,2026-04-26
TechB,Technology,PLTR,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,21,7401000.0,2026-03-31
TechB,Technology,TXN,capital_expenditure,cash_flow_statement,PaymentsToAcquirePropertyPlantAndEquipment,sec_companyfacts,21,676000000.0,2026-03-31
TechB,Technology,AMAT,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,22,6301000000.0,2026-04-26
TechB,Technology,AMD,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,21,5585000000.0,2026-03-28
TechB,Technology,APH,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,21,4128000000.0,2026-03-31
TechB,Technology,AVGO,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,22,19628000000.0,2026-05-03
TechB,Technology,CRM,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,21,8935000000.0,2026-04-30
TechB,Technology,CSCO,cash_and_cash_equivalents,balance_sheet,CashAndCashEquivalentsAtCarryingValue,sec_companyfacts,23,7083000000.0,2026-04-25
